1	1	144	white	1
1	145	530	white	1
1	531	892	white	1
1	893	2969	white	1
2	1	707	white	1
2	708	1548	white	1
2	1549	2958	white	1
3	1	1081	#000000	1
3	1082	1425	white	1
3	1426	2208	#000000	1
3	2209	2640	white	1
4	1	1871	white	1
5	1	2356	white	1
6	1	2281	white	1
7	1	916	#000000	2
7	917	2028	white	1
7	2029	3278	#000000	2
8	1	747	white	1
8	748	825	white	1
8	826	1446	white	1
9	1	591	white	1
9	592	1223	white	1
9	1224	1554	white	1
10	1	1408	white	1
11	1	1084	white	1
12	1	1534	white	1
13	1	1241	white	1
14	1	1273	white	1
15	1	284	white	1
15	285	935	white	1
15	936	1559	white	1
16	1	120	white	1
16	121	491	white	1
16	492	855	white	1
16	856	2932	white	1
17	1	739	white	1
17	740	1421	white	1
17	1422	2768	white	1
17	2769	2936	white	1
18	1	1067	#000000	3
18	1068	1801	white	1
18	1802	2586	#000000	3
19	1	1882	white	1
20	1	2722	white	1
21	1	2233	white	1
22	1	936	#000000	4
22	937	2063	white	1
22	2064	3290	#000000	4
23	1	63	white	1
23	64	1389	white	1
24	1	614	white	1
24	615	1278	white	1
24	1279	1542	white	1
25	1	1356	white	1
26	1	1067	white	1
27	1	1606	white	1
28	1	1136	white	1
29	1	1281	white	1
30	1	628	white	1
30	629	1142	white	1
30	1143	1580	white	1
