Et_4A_035145.mRNA1,,,,evm.model.Smar18g01654,,,,
Et_4A_032408.mRNA1,,,evm.model.Smar64g00164,.,Chr07G000010.1,,Chr04G000010.1,
Et_4A_032409.mRNA1,,evm.model.Smar56g00791,.,.,.,Chr12G000010.1,.,
Et_4A_035146.mRNA1,,.,evm.model.Smar64g00163,.,Chr07G000020.1,.,Chr04G000020.1,
Et_4A_032416.mRNA1,,.,evm.model.Smar64g00162,.,Chr07G000030.1,.,Chr04G000030.1,
Et_4A_035147.mRNA1,,.,.,.,.,.,.,
Et_4A_032417.mRNA1,evm.model.Smar20g00004,.,.,evm.model.Smar18g01650,.,.,.,
Et_4A_032418.mRNA1,.,evm.model.Smar56g00788,.,.,.,.,.,
Et_4A_032419.mRNA1,.,.,.,.,.,.,.,
Et_4A_031984.mRNA1,.,.,.,.,.,.,.,
Et_4A_032410.mRNA1,.,.,.,.,.,Chr12G000030.1,.,
Et_4A_032411.mRNA1,.,.,evm.model.Smar64g00161,.,.,.,.,
Et_4A_032412.mRNA1,.,.,.,.,Chr07G000040.1,.,Chr04G000040.1,
Et_4A_032420.mRNA1,evm.model.Smar20g00005,evm.model.Smar56g00784,.,evm.model.Smar18g01649,Chr07G000080.1,Chr12G000070.1,Chr04G000080.1,
Et_4A_032421.mRNA1,.,.,.,evm.model.Smar18g01648,.,Chr12G000080.1,.,
Et_4A_032422.mRNA1,.,.,.,.,.,Chr12G000090.1,.,
Et_4A_032423.mRNA1,.,evm.model.Smar56g00783,.,.,.,Chr12G000100.1,.,
Et_4A_032413.mRNA1,.,.,.,evm.model.Smar18g01647,.,Chr12G000110.1,.,
Et_4A_032414.mRNA1,evm.model.Smar20g00006,.,.,evm.model.Smar18g01645,Chr07G000090.1,Chr12G000120.1,Chr04G000090.1,
Et_4A_032415.mRNA1,.,.,.,evm.model.Smar18g01644,.,Chr12G000130.1,.,
Et_4A_035150.mRNA1,.,.,.,.,.,.,.,
Et_4A_035148.mRNA1,.,evm.model.Smar56g00780,.,evm.model.Smar18g01642,.,Chr12G000140.1,.,
Et_4A_035149.mRNA1,evm.model.Smar20g00007,evm.model.Smar56g00779,evm.model.Smar64g00159,evm.model.Smar18g01638,Chr07G000100.1,Chr12G000170.1,Chr04G000100.1,
Et_4A_032424.mRNA1,.,.,.,.,Chr07G000110.1,.,Chr04G000110.1,
Et_4A_033202.mRNA1,evm.model.Smar20g00008,evm.model.Smar56g00778,.,.,Chr07G000120.1,.,.,
Et_4A_033199.mRNA1,evm.model.Smar20g00009,evm.model.Smar56g00777,evm.model.Smar64g00158,evm.model.Smar18g01637,Chr07G000130.1,Chr12G000180.1,Chr04G000120.1,
Et_4A_033203.mRNA1,.,.,.,.,.,.,.,
Et_4A_033204.mRNA1,evm.model.Smar20g00010,.,.,.,Chr07G000140.1,.,Chr04G000130.1,
Et_4A_033205.mRNA1,evm.model.Smar20g00011,.,evm.model.Smar64g00157,.,Chr07G000150.1,.,Chr04G000150.1,
Et_4A_033200.mRNA1,evm.model.Smar20g00012,.,evm.model.Smar64g00156,.,Chr07G000160.1,Chr12G000200.1,Chr04G000160.1,
Et_4A_035319.mRNA1,.,evm.model.Smar56g00774,.,evm.model.Smar18g01634,Chr07G000170.1,Chr12G000210.1,Chr04G000170.1,
Et_4A_031830.mRNA1,.,.,.,.,.,.,.,
Et_4A_035320.mRNA1,.,.,.,.,.,.,.,
Et_4A_035321.mRNA1,.,.,evm.model.Smar64g00154,.,Chr07G000190.1,.,Chr04G000180.1,
Et_4A_035322.mRNA1,.,.,.,.,.,.,.,
Et_4A_033201.mRNA1,.,evm.model.Smar56g00772,.,evm.model.Smar18g01633,.,Chr12G000220.1,.,
Et_4A_033206.mRNA1,.,evm.model.Smar56g00771,.,evm.model.Smar18g01631,.,Chr12G000230.1,.,
Et_4A_033207.mRNA1,evm.model.Smar20g00014,.,.,evm.model.Smar18g01630,Chr07G000200.1,Chr12G000240.1,.,
Et_4A_033208.mRNA1,.,evm.model.Smar56g00769,.,evm.model.Smar18g01629,.,Chr12G000250.1,.,
Et_4A_033209.mRNA1,.,.,.,.,.,.,.,
Et_4A_033210.mRNA1,.,evm.model.Smar56g00768,evm.model.Smar64g00153,evm.model.Smar18g01628,Chr07G000210.1,Chr12G000260.1,Chr04G000200.1,
Et_4A_035323.mRNA1,.,evm.model.Smar56g00767,.,evm.model.Smar18g01627,.,Chr12G000270.1,.,
Et_4A_034102.mRNA1,.,.,.,.,Chr07G000220.1,Chr12G000280.1,.,
Et_4A_034101.mRNA1,.,.,.,evm.model.Smar18g01626,.,Chr12G000290.1,.,
Et_4A_035575.mRNA1,.,.,evm.model.Smar64g00152,.,.,.,.,
Et_4A_035578.mRNA1,evm.model.Smar20g00015,.,evm.model.Smar64g00151,.,Chr07G000230.1,.,Chr04G000210.1,
Et_4A_034103.mRNA1,evm.model.Smar20g00016,evm.model.Smar56g00766,.,evm.model.Smar18g01624,.,Chr12G000300.1,.,
Et_4A_035576.mRNA1,,.,.,.,.,.,.,
Et_4A_034094.mRNA1,,.,.,.,.,.,.,
Et_4A_034095.mRNA1,,.,.,.,.,.,.,
Et_4A_034104.mRNA1,,evm.model.Smar56g00765,.,evm.model.Smar18g01623,.,Chr12G000310.1,.,
Et_4A_034096.mRNA1,,evm.model.Smar56g00764,.,.,Chr07G000240.1,Chr12G000320.1,Chr04G000230.1,
Et_4A_034097.mRNA1,,.,.,.,.,Chr12G000330.1,.,
Et_4A_034098.mRNA1,,evm.model.Smar56g00762,.,.,.,Chr12G000340.1,.,
Et_4A_035577.mRNA1,,.,.,.,.,Chr12G000350.1,.,
Et_4A_034105.mRNA1,,evm.model.Smar56g00761,.,evm.model.Smar18g01621,.,Chr12G000360.1,.,
Et_4A_034099.mRNA1,,evm.model.Smar56g00758,.,evm.model.Smar18g01620,Chr07G000250.1,Chr12G000370.1,Chr04G000260.1,
Et_4A_034106.mRNA1,,.,.,.,Chr07G000260.1,.,.,
Et_4A_034100.mRNA1,,.,evm.model.Smar64g00148,.,Chr07G000270.1,.,.,
Et_4A_034107.mRNA1,,.,evm.model.Smar64g00147,.,Chr07G000280.1,.,.,
Et_4A_034511.mRNA1,,.,.,.,.,.,.,
Et_4A_034504.mRNA1,,evm.model.Smar56g00757,evm.model.Smar64g00146,evm.model.Smar18g01618,Chr07G000290.1,.,.,
Et_4A_035704.mRNA1,,.,evm.model.Smar64g00145,.,Chr07G000310.1,.,Chr04G000270.1,
Et_4A_034512.mRNA1,,evm.model.Smar56g00755,,.,,Chr12G000390.1,,
Et_4A_035708.mRNA1,,,,.,,.,,
Et_4A_034505.mRNA1,,,,.,,.,,
Et_4A_035705.mRNA1,,,,.,,.,,
Et_4A_034506.mRNA1,,,evm.model.Smar14g00298,.,Chr07G004800.1,.,Chr04G006860.1,
Et_4A_034513.mRNA1,evm.model.Smar20g00481,,evm.model.Smar14g00300,.,Chr07G004810.1,Chr12G000400.1,Chr04G006850.1,
Et_4A_034514.mRNA1,.,,evm.model.Smar14g00301,.,Chr07G004820.1,.,Chr04G006840.1,
Et_4A_034515.mRNA1,.,,.,evm.model.Smar18g01615,Chr07G004840.1,Chr12G000410.1,Chr04G006830.1,
Et_4A_034507.mRNA1,evm.model.Smar20g00482,,evm.model.Smar14g00302,.,Chr07G004850.1,.,Chr04G006820.1,
Et_4A_035706.mRNA1,evm.model.Smar20g00485,,evm.model.Smar14g00304,.,Chr07G004860.1,.,Chr04G006810.1,
Et_4A_034508.mRNA1,.,,.,.,Chr07G004870.1,.,Chr04G006770.1,
Et_4A_034509.mRNA1,evm.model.Smar20g00486,,evm.model.Smar14g00305,.,Chr07G004880.1,.,Chr04G006760.1,
Et_4A_034516.mRNA1,.,,.,.,.,.,.,
Et_4A_034510.mRNA1,evm.model.Smar20g00488,,evm.model.Smar14g00306,.,Chr07G004890.1,.,Chr04G006750.1,
Et_4A_034517.mRNA1,.,,.,.,Chr07G004900.1,.,Chr04G006740.1,
Et_4A_034518.mRNA1,.,,.,.,.,.,.,
Et_4A_035707.mRNA1,evm.model.Smar20g00489,,evm.model.Smar14g00308,.,Chr07G004910.1,.,Chr04G006730.1,
Et_4A_034626.mRNA1,.,,.,.,Chr07G004930.1,Chr12G000420.1,Chr04G006720.1,
Et_4A_034627.mRNA1,evm.model.Smar20g00490,,evm.model.Smar14g00309,.,Chr07G004940.1,.,Chr04G006710.1,
Et_4A_034630.mRNA1,evm.model.Smar20g00492,,.,evm.model.Smar18g01613,Chr07G004960.1,Chr12G000430.1,Chr04G006690.1,
Et_4A_034631.mRNA1,evm.model.Smar20g00493,,evm.model.Smar14g00310,.,Chr07G004970.1,Chr12G000450.1,Chr04G006680.1,
Et_4A_035747.mRNA1,.,,.,.,.,.,.,
Et_4A_035748.mRNA1,.,,.,.,Chr07G004980.1,.,Chr04G006670.1,
Et_4A_034632.mRNA1,.,,.,.,Chr07G004990.1,.,Chr04G006660.1,
Et_4A_035744.mRNA1,evm.model.Smar20g00496,,.,.,Chr07G005000.1,.,Chr04G006650.1,
Et_4A_034628.mRNA1,evm.model.Smar20g00500,,.,.,Chr07G005010.1,Chr12G000460.1,Chr04G006640.1,
Et_4A_034629.mRNA1,evm.model.Smar20g00501,evm.model.Smar56g00744,evm.model.Smar14g00313,evm.model.Smar18g01611,Chr07G005020.1,Chr12G000470.1,Chr04G006630.1,
Et_4A_034633.mRNA1,.,evm.model.Smar56g00743,.,evm.model.Smar18g01609,Chr07G005030.1,Chr12G000480.1,Chr04G006610.1,
Et_4A_035745.mRNA1,.,.,.,.,.,.,.,
Et_4A_034634.mRNA1,.,.,.,evm.model.Smar18g01608,Chr07G005040.1,Chr12G000490.1,Chr04G006600.1,
Et_4A_035749.mRNA1,.,.,evm.model.Smar14g00316,.,.,.,.,
Et_4A_035746.mRNA1,.,.,.,.,.,.,.,
Et_4A_035787.mRNA1,.,.,.,.,.,.,.,
Et_4A_034737.mRNA1,evm.model.Smar20g00506,.,evm.model.Smar14g00318,.,Chr07G005060.1,.,Chr04G006580.1,
Et_4A_031964.mRNA1,.,.,.,.,.,.,.,
Et_4A_035789.mRNA1,evm.model.Smar20g00508,.,evm.model.Smar14g00321,.,Chr07G005080.1,.,Chr04G006540.1,
Et_4A_034738.mRNA1,evm.model.Smar20g00509,evm.model.Smar56g00739,evm.model.Smar14g00322,evm.model.Smar18g01607,Chr07G005090.1,Chr12G000500.1,Chr04G006530.1,
Et_4A_035790.mRNA1,evm.model.Smar20g00512,.,evm.model.Smar14g00329,.,Chr07G005110.1,.,Chr04G006520.1,
Et_4A_034739.mRNA1,evm.model.Smar20g00513,evm.model.Smar56g00737,evm.model.Smar14g00331,evm.model.Smar18g01606,Chr07G005120.1,Chr12G000510.1,Chr04G006510.1,
Et_4A_034740.mRNA1,.,.,.,.,.,.,.,
Et_4A_031963.mRNA1,.,.,.,.,.,.,.,
Et_4A_035788.mRNA1,evm.model.Smar20g00515,.,evm.model.Smar14g00333,.,Chr07G005140.1,.,Chr04G006490.1,
Et_4A_034743.mRNA1,.,.,.,evm.model.Smar18g01604,.,Chr12G000530.1,.,Chr01G038870.1
Et_4A_034744.mRNA1,evm.model.Smar20g00516,.,evm.model.Smar14g00334,.,Chr07G005150.1,.,Chr04G006480.1,Chr01G038850.1
Et_4A_034745.mRNA1,.,evm.model.Smar56g00735,.,evm.model.Smar18g01602,Chr07G005160.1,Chr12G000540.1,Chr04G006470.1,Chr01G038840.1
Et_4A_034741.mRNA1,evm.model.Smar20g00518,evm.model.Smar56g00734,evm.model.Smar14g00336,evm.model.Smar18g01601,Chr07G005170.1,Chr12G000550.1,Chr04G006460.1,Chr01G038830.1
Et_4A_034742.mRNA1,evm.model.Smar20g00519,.,.,.,Chr07G005180.1,.,Chr04G006450.1,.
Et_4A_034746.mRNA1,evm.model.Smar20g00520,.,evm.model.Smar14g00337,.,Chr07G005190.1,.,Chr04G006440.1,.
Et_4A_034829.mRNA1,.,evm.model.Smar56g00733,.,.,Chr07G005210.1,Chr12G000560.1,Chr04G006420.1,Chr01G038820.1
Et_4A_034830.mRNA1,evm.model.Smar20g00525,.,evm.model.Smar14g00345,.,Chr07G005220.1,.,Chr04G006410.1,.
Et_4A_034831.mRNA1,evm.model.Smar20g00527,.,evm.model.Smar14g00347,.,Chr07G005230.1,.,Chr04G006400.1,.
Et_4A_034839.mRNA1,evm.model.Smar20g00528,evm.model.Smar56g00732,evm.model.Smar14g00349,evm.model.Smar18g01600,Chr07G005240.1,Chr12G000570.1,Chr04G006390.1,Chr01G038800.1
Et_4A_034832.mRNA1,evm.model.Smar20g00529,.,evm.model.Smar14g00351,.,Chr07G005250.1,.,Chr04G006360.1,.
Et_4A_034833.mRNA1,evm.model.Smar20g00530,evm.model.Smar56g00731,evm.model.Smar14g00363,evm.model.Smar18g01599,Chr07G005260.1,Chr12G000580.1,Chr04G006350.1,Chr01G038770.1
Et_4A_034840.mRNA1,.,evm.model.Smar56g00730,.,evm.model.Smar18g01598,.,Chr12G000590.1,Chr04G006340.1,Chr01G038760.1
Et_4A_035834.mRNA1,.,.,.,.,.,.,.,.
Et_4A_035831.mRNA1,evm.model.Smar20g00532,.,evm.model.Smar14g00364,.,Chr07G005300.1,.,Chr04G006330.1,.
Et_4A_034834.mRNA1,.,.,.,.,.,.,.,.
Et_4A_034835.mRNA1,.,.,.,.,Chr07G005320.1,.,.,.
Et_4A_035835.mRNA1,evm.model.Smar20g00533,.,.,.,Chr07G005330.1,.,Chr04G006310.1,.
Et_4A_035832.mRNA1,evm.model.Smar20g00534,evm.model.Smar56g00729,.,.,.,Chr12G000610.1,Chr04G006300.1,Chr01G038750.1
