Et_4A_035145.mRNA1,,,,evm.model.Smar18g01654
Et_4A_032408.mRNA1,,,evm.model.Smar64g00164,.
Et_4A_032409.mRNA1,,evm.model.Smar56g00791,.,.
Et_4A_035146.mRNA1,,.,evm.model.Smar64g00163,.
Et_4A_032416.mRNA1,,.,evm.model.Smar64g00162,.
Et_4A_035147.mRNA1,,.,.,.
Et_4A_032417.mRNA1,evm.model.Smar20g00004,.,.,evm.model.Smar18g01650
Et_4A_032418.mRNA1,.,evm.model.Smar56g00788,.,.
Et_4A_032419.mRNA1,.,.,.,.
Et_4A_031984.mRNA1,.,.,.,.
Et_4A_032410.mRNA1,.,.,.,.
Et_4A_032411.mRNA1,.,.,evm.model.Smar64g00161,.
Et_4A_032412.mRNA1,.,.,.,.
Et_4A_032420.mRNA1,evm.model.Smar20g00005,evm.model.Smar56g00784,.,evm.model.Smar18g01649
Et_4A_032421.mRNA1,.,.,.,evm.model.Smar18g01648
Et_4A_032422.mRNA1,.,.,.,.
Et_4A_032423.mRNA1,.,evm.model.Smar56g00783,.,.
Et_4A_032413.mRNA1,.,.,.,evm.model.Smar18g01647
Et_4A_032414.mRNA1,evm.model.Smar20g00006,.,.,evm.model.Smar18g01645
Et_4A_032415.mRNA1,.,.,.,evm.model.Smar18g01644
Et_4A_035150.mRNA1,.,.,.,.
Et_4A_035148.mRNA1,.,evm.model.Smar56g00780,.,evm.model.Smar18g01642
Et_4A_035149.mRNA1,evm.model.Smar20g00007,evm.model.Smar56g00779,evm.model.Smar64g00159,evm.model.Smar18g01638
Et_4A_032424.mRNA1,.,.,.,.
Et_4A_033202.mRNA1,evm.model.Smar20g00008,evm.model.Smar56g00778,.,.
Et_4A_033199.mRNA1,evm.model.Smar20g00009,evm.model.Smar56g00777,evm.model.Smar64g00158,evm.model.Smar18g01637
Et_4A_033203.mRNA1,.,.,.,.
Et_4A_033204.mRNA1,evm.model.Smar20g00010,.,.,.
Et_4A_033205.mRNA1,evm.model.Smar20g00011,.,evm.model.Smar64g00157,.
Et_4A_033200.mRNA1,evm.model.Smar20g00012,.,evm.model.Smar64g00156,.
Et_4A_035319.mRNA1,.,evm.model.Smar56g00774,.,evm.model.Smar18g01634
Et_4A_031830.mRNA1,.,.,.,.
Et_4A_035320.mRNA1,.,.,.,.
Et_4A_035321.mRNA1,.,.,evm.model.Smar64g00154,.
Et_4A_035322.mRNA1,.,.,.,.
Et_4A_033201.mRNA1,.,evm.model.Smar56g00772,.,evm.model.Smar18g01633
Et_4A_033206.mRNA1,.,evm.model.Smar56g00771,.,evm.model.Smar18g01631
Et_4A_033207.mRNA1,evm.model.Smar20g00014,.,.,evm.model.Smar18g01630
Et_4A_033208.mRNA1,.,evm.model.Smar56g00769,.,evm.model.Smar18g01629
Et_4A_033209.mRNA1,.,.,.,.
Et_4A_033210.mRNA1,.,evm.model.Smar56g00768,evm.model.Smar64g00153,evm.model.Smar18g01628
Et_4A_035323.mRNA1,.,evm.model.Smar56g00767,.,evm.model.Smar18g01627
